refinement_id,kernel_generator,source_chart,target_chart,open_condition,localized_nonvanishing_forms,emptiness_certified
21,0,C0101,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 30}]]",False
22,0,C0110,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 30}]]",False
23,0,C0111,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 30}]]",False
24,0,C1000,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 30}]]",False
25,0,C1001,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 30}]]",False
26,0,C1010,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 30}]]",False
27,0,C1011,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 30}]]",False
28,0,C1100,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 30}]]",False
29,0,C1101,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 30}]]",False
30,0,C1110,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 30}]]",False
31,0,C1111,C0001,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 11}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 28}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 30}]]",False
32,0,C0000,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 14}]]",False
33,0,C0001,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 14}]]",False
34,0,C0010,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 14}]]",False
35,0,C0011,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 14}]]",False
36,0,C0100,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 14}]]",False
37,0,C0101,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 14}]]",False
38,0,C0110,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 14}]]",False
39,0,C0111,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 14}]]",False
40,0,C1000,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 14}]]",False
41,0,C1001,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x*y^-1"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 14}]]",False
42,0,C1010,C0010,U_source intersect k^-1(U_target),"[[{""basis_monomial"": ""y^-1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}], [{""basis_monomial"": ""1"", ""coefficient_mod_31"": 1}, {""basis_monomial"": ""x"", ""coefficient_mod_31"": 20}, {""basis_monomial"": ""y"", ""coefficient_mod_31"": 14}]]",False
