job_id,source_K_index,target_K_index,generator,source_K_exponents,target_K_exponents,localized_overlap,source_frame_forms_in_base_1_u_v,target_frame_forms_in_base_1_u_v,normalized_H_scalar_mod_31,normalized_H_factor_circuit,normalized_O4H_scalar_mod_31,normalized_O4H_factor_circuit,whole_ring_J1_emitted,whole_ring_J2_emitted,whole_ring_lambda_correction_emitted,L0_A_source_equals_A_target_L1_certified
28,7,34,0,"[0, 0, 2, 1]","[1, 0, 2, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]","[[1,0,1],[20,16,1],[24,0,21],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
29,7,16,1,"[0, 0, 2, 1]","[0, 1, 2, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]","[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
30,7,1,2,"[0, 0, 2, 1]","[0, 0, 0, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]","[[1,0,0],[1,20,14],[30,18,11],[1,20,14]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
31,7,8,3,"[0, 0, 2, 1]","[0, 0, 2, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]","[[1,0,0],[14,25,21],[22,20,6],[2,9,3]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
32,8,35,0,"[0, 0, 2, 2]","[1, 0, 2, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[14,25,21],[22,20,6],[2,9,3]]","[[1,0,1],[14,25,21],[22,20,6],[8,0,0]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
33,8,17,1,"[0, 0, 2, 2]","[0, 1, 2, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[14,25,21],[22,20,6],[2,9,3]]","[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
34,8,2,2,"[0, 0, 2, 2]","[0, 0, 0, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[14,25,21],[22,20,6],[2,9,3]]","[[1,0,0],[2,9,3],[29,26,9],[2,9,3]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
35,8,6,3,"[0, 0, 2, 2]","[0, 0, 2, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[14,25,21],[22,20,6],[2,9,3]]","[[1,0,0],[29,0,2],[29,6,9],[1,0,0]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
36,9,36,0,"[0, 1, 0, 0]","[1, 1, 0, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,0,0],[30,28,11],[1,0,1]]","[[12,17,13],[1,0,0],[30,28,11],[21,22,15]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
37,9,18,1,"[0, 1, 0, 0]","[0, 2, 0, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,0,0],[30,28,11],[1,0,1]]","[[2,9,3],[1,0,0],[29,6,9],[29,0,2]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
