generator,generator_exponents,artifact_support_slot,source_support,target_support,support_pair_key,support_bindings_sha256
e2,"[0,0,1,0]",s00,"[1,1,5,1]","[1,2,33,1]","[[1,1,5,1],[1,2,33,1]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s01,"[1,8,10,15]","[1,15,34,15]","[[1,8,10,15],[1,15,34,15]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s02,"[1,15,34,15]","[1,17,6,15]","[[1,15,34,15],[1,17,6,15]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s03,"[1,16,29,16]","[1,14,28,16]","[[1,16,29,16],[1,14,28,16]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s04,"[1,17,6,15]","[1,8,10,15]","[[1,17,6,15],[1,8,10,15]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s05,"[2,1,5,16]","[2,2,33,16]","[[2,1,5,16],[2,2,33,16]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s06,"[2,8,10,1]","[2,15,34,1]","[[2,8,10,1],[2,15,34,1]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s07,"[2,15,34,1]","[2,17,6,1]","[[2,15,34,1],[2,17,6,1]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s08,"[2,16,29,15]","[2,14,28,15]","[[2,16,29,15],[2,14,28,15]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s09,"[2,17,6,1]","[2,8,10,1]","[[2,17,6,1],[2,8,10,1]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s10,"[7,1,33,17]","[7,2,9,17]","[[7,1,33,17],[7,2,9,17]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s11,"[7,7,29,2]","[7,16,28,2]","[[7,7,29,2],[7,16,28,2]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s12,"[7,8,34,14]","[7,15,6,14]","[[7,8,34,14],[7,15,6,14]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s13,"[7,15,6,14]","[7,17,10,14]","[[7,15,6,14],[7,17,10,14]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s14,"[7,17,10,14]","[7,8,34,14]","[[7,17,10,14],[7,8,34,14]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s15,"[8,1,9,8]","[8,2,5,8]","[[8,1,9,8],[8,2,5,8]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s16,"[8,8,6,7]","[8,15,10,7]","[[8,8,6,7],[8,15,10,7]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
