edge_job_id,source_K_index,target_K_index,source_K_exponents,target_K_exponents,generator_index,generator,generator_exponents,generator_artifact_loaded,support_ids_bound,support_binding_count,support_bindings_sha256,ready_for_common_basis_rebase,common_basis_rebased,numeric_edge_matrix_emitted,edge_chain_map_certified,status
50,12,15,"[0,1,1,0]","[0,1,2,0]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
51,12,13,"[0,1,1,0]","[0,1,1,1]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
52,13,40,"[0,1,1,1]","[1,1,1,1]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
53,13,22,"[0,1,1,1]","[0,2,1,1]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
54,13,16,"[0,1,1,1]","[0,1,2,1]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
55,13,14,"[0,1,1,1]","[0,1,1,2]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
56,14,41,"[0,1,1,2]","[1,1,1,2]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
57,14,23,"[0,1,1,2]","[0,2,1,2]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
58,14,17,"[0,1,1,2]","[0,1,2,2]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
59,14,12,"[0,1,1,2]","[0,1,1,0]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
60,15,42,"[0,1,2,0]","[1,1,2,0]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
61,15,24,"[0,1,2,0]","[0,2,2,0]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
62,15,9,"[0,1,2,0]","[0,1,0,0]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
63,15,16,"[0,1,2,0]","[0,1,2,1]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
64,16,43,"[0,1,2,1]","[1,1,2,1]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
65,16,25,"[0,1,2,1]","[0,2,2,1]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
66,16,10,"[0,1,2,1]","[0,1,0,1]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
67,16,17,"[0,1,2,1]","[0,1,2,2]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
68,17,44,"[0,1,2,2]","[1,1,2,2]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
69,17,26,"[0,1,2,2]","[0,2,2,2]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
70,17,11,"[0,1,2,2]","[0,1,0,2]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
71,17,15,"[0,1,2,2]","[0,1,2,0]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
72,18,45,"[0,2,0,0]","[1,2,0,0]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
73,18,0,"[0,2,0,0]","[0,0,0,0]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
74,18,21,"[0,2,0,0]","[0,2,1,0]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
75,18,19,"[0,2,0,0]","[0,2,0,1]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
76,19,46,"[0,2,0,1]","[1,2,0,1]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
77,19,1,"[0,2,0,1]","[0,0,0,1]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
78,19,22,"[0,2,0,1]","[0,2,1,1]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
79,19,20,"[0,2,0,1]","[0,2,0,2]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
80,20,47,"[0,2,0,2]","[1,2,0,2]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
81,20,2,"[0,2,0,2]","[0,0,0,2]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
82,20,23,"[0,2,0,2]","[0,2,1,2]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
83,20,18,"[0,2,0,2]","[0,2,0,0]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
84,21,48,"[0,2,1,0]","[1,2,1,0]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
85,21,3,"[0,2,1,0]","[0,0,1,0]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
86,21,24,"[0,2,1,0]","[0,2,2,0]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
